code,label,lng,lat,gend,northing,population,households,populationDensity,lgb1,lgb2,lgb3,lgb4,lgb5,lgb6,lgb7
E07000112,Folkestone and Hythe,0.9957,51.0544,805,132599,109754,48338,307.5,6.832946636,5.693288472,4.02303866,2.819357652,1.711229947,1.167089525,0.544747082
E07000113,Swale,0.8125,51.3417,15395,164044,151678,60495,406.2,6.258869221,4.858342635,3.271489735,2.461425422,1.50553823,0.563720556,0.450910328
E07000114,Thanet,1.3404,51.3543,130,166985,140585,62200,1356.9,7.668521954,6.634229732,4.549311403,3.243684733,2.479757085,1.422776533,0.450321658
E07000115,Tonbridge and Malling,0.3571,51.273,715,155282,132196,53573,550.6,5.731707317,4.067068524,2.153656279,1.732497957,1.113654643,0.608469901,0.288704439
E07000116,Tunbridge Wells,0.4309,51.1141,18180,137789,115311,48223,348,7.209642897,5.479565614,2.970366721,1.804748062,1.37400187,0.741233489,0.292103143
E07000117,Burnley,-2.2214,53.7789,100,431414,94649,39872,855,6.162074177,4.850559359,3.069742393,2.407177118,1.422309688,0.486150367,0.400554614
E07000118,Chorley,-2.6482,53.6612,875,418497,117731,50132,580.6,5.884926712,5.662881581,3.490136571,2.105654301,1.04180491,0.500834725,0.236503856
E07000119,Fylde,-2.9223,53.7842,19330,432384,81380,37606,491.2,6.481965499,5.131561723,3.255082285,2.644628099,1.925420424,1.114283083,0.452666798
E07000120,Hyndburn,-2.3896,53.7589,85,429238,82236,34790,1126.6,5.319699715,4.817049436,2.834357151,2.017150653,1.299781637,0.79189926,0.280806079
E07000121,Lancaster,-2.7146,54.0691,995,463919,142932,59978,252.1,12.51683066,7.463475904,4.056981553,2.832043249,1.991023133,1.120120946,0.50165871
E07000122,Pendle,-2.1856,53.8655,14655,441045,95753,38066,565.4,4.261200046,3.889597377,2.882072977,2.037366548,1.372260085,0.721180517,0.285456731
E07000123,Preston,-2.6973,53.8115,45,435253,147835,59607,1039,9.797151489,6.27820481,3.494729722,2.39090065,1.550436256,0.817067635,0.44989315
E07000124,Ribble Valley,-2.4451,53.9072,840,445761,61558,26747,105.6,4.517069109,3.775196447,2.708731676,1.380924517,0.828337875,0.421310139,0.21776326
E07000125,Rossendale,-2.2669,53.694,12555,421988,70876,30561,513.4,5.568201716,5.299062005,3.436633305,2.217659138,1.217391304,0.791268759,0.326420891
E07000126,South Ribble,-2.7107,53.7281,30,425975,111042,48586,981.4,6.563749445,5.503281411,2.767513169,2.071814003,1.086223182,0.474166122,0.129896083
E07000127,West Lancashire,-2.8825,53.6096,1060,412911,117427,48533,338.8,9.924253051,4.908186031,2.806599762,1.497492885,0.948863275,0.440971685,0.22737608
